# Pointing,RA,DEC,integration time, IDs
P310+00,310.772795833,0.384518055556,0.0,None
P041+74,41.5546166667,73.9344177778,0.0,None
P091+62,91.6988666667,61.7782222222,0.0,None
P15Hetdex13,176.80077,47.49272,8.01, 231631
P088+74,88.946475,74.2959366667,0.0,None
P059+67,59.0278458333,66.5538083333,0.0,None
P123+44,123.5633625,44.4181794444,0.0,None
P337+56,337.042916667,55.8232097222,0.0,None
P284+03,284.839783333,2.69297055556,0.0,None
P176+32,176.518954167,32.1610077778,0.0,None
P200+55,200.5533375,54.8740527778,8.68, 261609
P245+17,245.198191667,17.4832263889,0.0,None
P176+35,176.293445833,34.6696986111,0.0,None
P054+04,54.4691916667,3.77491055556,0.0,None
P054+01,54.32125,1.26350805556,0.0,None
P336+51,336.726320833,50.8017972222,0.0,None
P071+54,71.1904791667,54.1031341667,0.0,None
P071+52,71.78625,51.5981997222,0.0,None
P159+12,159.124958333,11.9892338889,0.0,None
P010+21,10.5814208333,20.9770475,0.0,None
P029+59,29.3009541667,58.7845230556,0.0,None
P010+26,10.4297833333,25.9958725,0.0,None
P007+66,7.3817375,66.1219883333,0.0,None
P007+64,7.6702,63.6160755556,0.0,None
P274+53,274.645158333,52.8173788889,0.0,None
P20Hetdex17,183.16448,45.33236,8.03, 232235
P172+25,172.969008333,24.6126080556,0.0,None
P172+27,172.575733333,27.1205233333,0.0,None
P212+12,212.0782125,12.2697213889,0.0,None
P172+22,172.053495833,22.0978102778,0.0,None
P141+45,141.704008333,44.5231561111,0.0,None
P247+10,247.485495833,9.96726333333,0.0,None
P088+32,88.0760833333,31.6386508333,0.0,None
P42Hetdex07,204.37687,49.74803,8.01, 230425
P141+47,141.416529167,47.031375,0.0,None
P104+34,104.068625,34.2569961111,0.0,None
P219+07,219.886120833,7.29289972222,0.0,None
P065+26,65.258925,26.4506463889,0.0,None
P065+24,65.0389583333,23.9391416667,0.0,None
P232+45,232.872241667,45.0171088889,8.01, 371588
P079+59,79.5664375,59.1834972222,0.0,None
P270+13,270.397958333,12.6295738889,0.0,None
P031+04,31.1257916667,3.58246111111,0.0,None
P031+01,31.0205833333,1.07134416667,0.0,None
P171+10,171.317966667,9.54359138889,0.0,None
P350+46,350.9316875,45.9054055556,0.0,None
P350+41,350.811308333,40.8847047222,0.0,None
P090+69,90.597725,69.2947083333,0.0,None
P198+25,198.609208333,24.7473916667,0.0,None
P188+07,188.576504167,7.12378694444,0.0,None
P293+05,293.362320833,5.26746805556,0.0,None
P021+51,21.9806208333,51.1940916667,0.0,None
P301+73,301.0956,73.0825766667,0.0,None
P301+71,301.925875,70.5826663889,0.0,None
P357+41,357.662958333,40.9443741667,0.0,None
P114+39,114.092708333,39.3407622222,8.01, 569309
P198+27,198.7683375,27.2580555556,0.0,None
P329+08,329.581154167,8.07142,0.0,None
P353+51,353.138070833,50.9437294444,0.0,None
P329+06,329.763070833,5.5627625,0.0,None
P129+09,129.333983333,9.31313888889,0.0,None
P145+37,145.108945833,37.0129252778,0.0,None
P084+07,84.2945916667,6.5111625,0.0,None
P129+02,129.413625,1.78311888889,0.0,None
P084+09,84.7590541667,9.02464472222,0.0,None
P178+02,178.622395833,2.05137805556,0.0,None
P318+43,318.5426625,43.1191177778,0.0,None
P099+24,99.0580541667,24.1840238889,0.0,None
P129+04,129.722883333,4.29511138889,0.0,None
P178+07,178.142504167,7.06938611111,0.0,None
P218+25,218.573166667,24.8560180556,0.0,None
P326+08,326.968583333,8.04930722222,0.0,None
P146+07,146.847895833,6.90243805556,0.0,None
P082+09,82.1381708333,9.00604444444,0.0,None
P324+06,324.5618625,5.51886611111,0.0,None
P326+01,326.303816667,0.513169444444,0.0,None
P177+40,177.863245833,39.6975277778,8.01, 402149
P326+03,326.306370833,3.02332277778,4.01, 574095
P324+08,324.352691667,8.02730944444,0.0,None
P153+85,153.548408333,84.6622925,0.0,None
P030+26,30.6048041667,26.1692963889,0.0,None
P194+70,194.735541667,69.8929252778,8.02, 583969 590161
